370,386,354,424,400,416,424,410,413
170,172,161,186,188,189,186,192,191
281,273,325,374,363,385,386,407,419
87,90,104,116,118,122,125,126,128
75,74,75,105,100,106,116,110,115
43,44,53,70,70,81,81,78,83
370,397,397,442,466,451,459,438,461
425,433,527,601,612,640,646,645,655
302,302,324,370,416,443,433,433,439
181,188,210,215,277,262,251,251,268
202,214,207,229,294,271,261,264,265
214,214,237,251,305,282,280,283,298
77,80,102,133,128,136,136,138,138
139,149,180,195,192,207,204,213,215
864,882,934,995,1029,1142,1138,1152,1180
1010,983,1223,1590,1558,1662,1658,1657,1683
399,420,473,577,557,593,585,622,613
30,30,32,34,33,35,37,36,35
974,1071,1259,1304,1425,1385,1388,1423,1448
931,943,1109,1242,1274,1325,1323,1374,1413
185,213,209,231,278,260,258,260,264
60,64,69,82,86,81,89,89,88
12,14,12,17,16,20,19,17,17
111,112,115,121,124,125,126,129,129
1070,1105,1341,1285,1424,1369,1391,1430,1458
210,226,293,263,339,314,313,311,319
492,523,618,578,754,688,652,665,687
377,390,404,417,434,433,430,451,465
446,450,549,580,587,609,609,619,638
17,17,16,21,25,23,19,21,22
88,90,90,101,102,108,106,100,104
606,608,723,757,813,828,841,833,877
753,724,808,1088,1155,1173,1202,1193,1222
346,347,411,469,545,592,559,566,588
88,95,94,102,117,121,113,114,121
266,264,293,316,327,336,327,329,342
616,629,685,793,776,818,836,842,859
343,350,388,404,487,487,459,476,489
167,168,190,228,265,255,255,258,261
295,300,363,420,424,444,455,468,473
170,204,193,230,277,241,242,255,259
593,600,629,692,748,770,813,823,835
157,157,162,187,206,225,231,239,239
338,353,341,435,486,523,536,515,516
103,103,103,105,113,123,134,129,130
156,158,167,191,205,222,243,239,245
42,52,48,52,57,59,60,62,58
13,14,15,20,15,18,20,23,20
1,1,1,2,2,1,2,2,2
51,57,58,64,72,65,73,70,69
3345,3616,4004,4419,4912,5121,5141,5176,5332
60,65,64,72,89,89,89,92,89
380,392,417,584,618,658,648,647,659
158,178,184,195,214,214,230,226,228
340,357,395,506,509,541,561,547,551
15,20,23,24,25,26,28,28,29
5853,6272,6914,8240,9062,9491,9766,9994,10155
24,24,25,32,32,35,38,40,43
1047,1057,1098,1222,1395,1490,1533,1586,1600
595,608,632,714,787,829,868,897,911
56,72,71,87,101,100,105,108,104
830,901,954,1195,1352,1347,1355,1389,1422
274,319,376,413,463,459,473,475,485
2844,3015,3233,3608,3716,3988,3971,4071,4141
1316,1368,1510,1779,1961,2166,2239,2240,2326
465,481,504,604,676,714,733,746,757
48,63,65,74,86,85,88,90,93
159,160,166,196,201,251,236,246,252
