2511,2614,2515,2835,2966,3077,3098,3073,3162
929,1043,981,1175,1270,1300,1285,1289,1314
1735,1993,2486,2538,2905,2773,2806,2818,2841
586,701,810,838,1020,1007,994,982,1018
550,597,569,728,793,844,872,850,867
376,400,500,590,656,694,706,700,712
1933,2277,2218,2678,2823,2884,2915,2889,3000
3213,3640,4073,4453,5223,5217,5259,5321,5419
2162,2159,2826,2810,3003,3190,3124,3098,3258
1449,1481,1763,1739,1835,1931,1918,1962,2031
1494,1526,1778,1944,2028,2105,2155,2119,2179
1521,1546,1889,1787,2185,2356,2259,2251,2309
656,778,882,1044,1174,1187,1183,1185,1199
1144,1385,1701,1790,1953,1999,1958,1949,2038
7060,7542,8113,8416,9945,10259,9980,9980,10544
7447,8973,10948,11373,12516,12645,12925,12920,12987
3036,3425,3818,4154,4838,4620,4641,4773,4863
262,275,280,297,320,327,331,316,336
7537,8082,8639,10462,11438,11636,11688,11895,12253
7231,7582,8381,9392,11284,11193,11150,11153,11438
1309,1331,1483,1689,1629,1792,1775,1905,1919
448,454,449,583,686,659,679,683,704
127,134,142,142,160,182,183,170,185
801,819,855,865,995,1052,1059,1025,1042
8268,8406,9326,10017,11226,11890,11644,11856,12092
1472,1514,1709,2008,2124,2275,2345,2368,2486
3642,3770,4057,4719,5030,5324,5734,5538,6012
3155,3129,3224,3462,3845,3859,4228,3901,4299
3422,3594,4395,4803,5110,5151,5151,5125,5233
165,169,172,180,199,212,241,212,233
685,694,725,755,881,942,988,914,988
4346,4443,5278,5501,6029,6310,6095,6106,6236
5540,6110,7617,7877,9444,9493,9416,9312,9489
2823,2994,4108,4191,4729,4932,4940,5125,5204
695,722,805,869,949,1017,1076,1025,1067
1996,2018,2179,2220,2624,2665,2699,2621,2710
4646,5085,5301,5639,6881,6759,6837,6757,6921
2434,2501,2893,3142,3438,3614,3669,3749,3824
1257,1343,1370,1569,1814,1819,1932,1904,1949
2125,2349,2495,2760,3261,3396,3393,3425,3492
1430,1513,1684,2176,2182,2277,2194,2377,2346
4391,4531,4609,5036,5718,6050,6207,6223,6369
1311,1475,1626,1937,2266,2141,2181,2319,2355
2525,2692,2848,3201,3565,3557,3763,3838,3972
750,754,765,831,963,943,986,969,989
1151,1236,1278,1604,1856,1810,1792,1809,1827
334,376,369,439,465,500,494,487,489
121,139,150,174,218,195,202,206,201
20,20,20,29,35,31,32,34,33
287,307,325,385,443,409,405,429,418
26825,28553,31249,36562,40157,41375,42136,42407,43521
474,488,522,605,628,666,697,722,717
3040,3483,4366,4552,4985,5002,5176,5116,5196
1046,1109,1045,1343,1525,1686,1679,1688,1693
2613,3021,3190,3444,3712,3801,3933,3875,3937
161,192,161,247,274,302,293,286,294
48411,52500,57575,67772,76361,78641,79291,80813,82507
202,230,241,314,363,334,338,348,350
7789,8030,8334,9418,11300,11554,11793,11897,12290
4648,4898,5024,5914,6981,7040,7159,7352,7439
472,503,586,666,680,741,766,791,794
5995,6381,7175,8828,9011,9442,9863,10164,10242
2130,2276,2640,3125,3328,3638,3814,3861,4032
23042,24320,25368,28800,32597,32870,33720,33901,34955
10993,12162,12533,14871,16906,16875,17483,17700,18021
3790,4122,4246,5254,5908,5866,6058,6225,6309
612,721,708,878,955,992,961,1029,1032
1523,1665,1728,1889,2287,2193,2359,2311,2408
3870,4104,3982,5184,5741,6053,6134,6228,6378
720,749,704,1014,1144,1237,1237,1270,1289
303,316,322,419,478,504,534,538,546
10515,11411,11992,14131,15085,16057,16377,16557,16828
4078,4381,4901,5610,6212,6448,6725,6747,6869
542,560,599,657,780,791,838,800,818
640,687,727,900,1039,1022,1054,1063,1085
1038,1096,1274,1382,1593,1594,1636,1620,1650
2625,2701,2920,3245,3349,3414,3532,3575,3617
2766,3045,3392,3899,4121,4311,4503,4568,4649
204,204,202,231,256,265,279,283,292
2124,2168,2229,2773,3079,3528,3628,3663,3926
9859,10819,10480,12707,13964,14602,14980,14976,15416
6171,6674,6969,8055,8870,9179,9423,9606,9734
1426,1551,1587,1871,2085,2192,2234,2182,2245
61,62,63,76,93,91,108,111,111
4046,4360,4240,5272,6017,6563,6652,6774,7060
296,318,306,369,388,397,417,402,420
413,440,447,575,649,704,718,724,753
473,488,513,613,807,866,847,830,863
6079,6522,7199,8587,9349,10034,10335,10583,10890
164,166,169,205,230,260,264,275,281
43295,45599,49711,56448,61472,63569,64723,66106,67792
450,464,541,627,690,741,762,766,782
414,428,453,536,601,644,680,655,674
114,124,123,155,178,180,187,191,186
1083,1174,1271,1457,1547,1608,1655,1670,1678
240,252,279,323,344,428,435,435,454
537,616,677,764,842,868,889,890,921
605,662,717,838,911,942,972,949,978
4200,4503,4679,5573,6464,6885,7145,7131,7530
1614,1685,1789,2153,2332,2584,2661,2774,2895
310,346,315,378,405,445,448,422,441
121,125,150,155,179,186,214,218,214
294,300,309,363,396,416,425,438,451
5261,5445,5732,7107,8224,8928,9577,9791,10568
675,697,671,872,944,1072,1088,1125,1211
685,741,839,911,1000,1031,1099,1112,1121
1558,1657,1725,2045,2285,2389,2459,2514,2617
53,54,51,59,61,61,70,70,69
664,734,812,970,1070,1136,1153,1180,1194
1040,1101,1270,1425,1658,1786,1880,1924,1996
493,499,589,698,807,893,963,1003,1021
1514,1671,1891,2100,2544,2543,2615,2626,2746
2317,2475,2657,3066,3677,3966,4649,4799,5163
3133,3287,3508,4292,4879,4964,5213,5221,5429
2438,2599,2718,3130,3471,3648,3730,3748,3854
7368,7719,8417,9286,10550,12037,12932,13416,14548
498,522,542,724,779,831,848,836,868
1012,1034,1126,1418,1513,1615,1711,1727,1774
1322,1365,1654,1854,1986,2151,2345,2464,2535
2051,1994,2634,2515,3108,3076,3920,3994,4159
16858,18006,19780,22031,23772,24377,25541,26027,26929
437,475,503,631,666,701,726,739,764
757,760,861,1016,1211,1404,1573,1620,1720
1432,1525,1574,1741,1936,1942,2015,2016,2082
1121,1193,1285,1538,1892,2045,2242,2387,2497
108,119,116,155,131,144,156,156,166
2978,3168,3303,3968,4136,4741,5061,5327,5513
143,147,160,197,238,237,249,249,269
380,394,402,436,481,582,646,622,692
90,105,116,119,151,146,156,162,161
81,85,80,115,125,151,165,161,189
254,255,314,380,417,473,510,549,562
1499,1600,1681,2058,2261,2429,2595,2760,2869
683,738,737,964,1005,1226,1316,1273,1489
2419,2649,2767,3173,4079,4585,4711,4666,4950
792,813,851,910,1069,1298,1273,1323,1460
234,258,268,306,348,353,376,391,395
149,167,159,230,239,271,300,308,310
33,35,36,42,43,54,72,85,85
1750,1835,1958,2291,2375,3209,3442,3669,3857
739,785,846,915,1078,1098,1199,1241,1362
493,507,519,609,637,674,747,750,756
395,432,476,569,636,671,706,743,797
1370,1485,1659,2003,2259,2435,2488,2691,2861
895,966,993,1141,1385,1469,1520,1566,1616
875,960,1023,1090,1212,1249,1302,1323,1363
10117,11021,12143,13639,15221,15724,16239,16780,17301
2570,2629,2684,2984,3108,3226,3258,3331,3374
356,376,404,498,535,537,550,561,559
53,50,53,60,74,78,81,87,89
744,783,812,1010,1129,1228,1246,1209,1218
777,795,849,912,942,980,1008,1029,1033
825,874,790,1024,1280,1369,1353,1336,1411
147,130,126,176,185,207,204,198,210
271,289,319,366,393,396,410,403,402
338,361,433,476,496,516,529,512,515
1097,1234,1148,1369,1564,1640,1709,1665,1715
252,240,268,296,312,316,343,339,351
33,34,43,45,51,48,53,58,58
0,0,0,0,0,0,0,0,0
395,394,387,458,465,479,490,484,494
1625,1671,1779,2023,2470,2498,2622,2587,2817
1044,1050,1114,1377,1644,1689,1718,1722,1782
180,171,161,197,229,228,255,237,253
82,81,93,96,131,120,117,122,128
1631,1821,1875,2305,2578,2506,2514,2609,2639
